	1
2734	M
2735	M
2736	M
2737	M
2738	M
2739	M
2740	F
2741	F
2742	F
2743	F
2744	F
2745	F
2746	F
2747	F
2748	F
2749	F
2750	M
2751	M
2752	M
2753	M
2754	M
2755	M
2756	M
2757	M
2758	M
2759	M
2760	F
2761	F
2762	F
2763	F
2764	F
2765	F
2766	F
2767	F
2768	F
2769	F
2770	M
2771	M
2772	M
2773	M
2774	M
2775	M
2776	M
2777	M
2778	M
2779	M
